ACCESSION NO,AUTHOR,TITLE,Subtitle,YEAR,PAGE,PUBLISHER,SOURCE,BILL NO ,DATE,PRICE,,ISBN,Edition,Subject,Accompanying Material,Pages,Publisher,Year,
JR0060,,Looking Around-3: Textbook in EVS for Class 3,,2022,162p.,Harper Collins,"Hema Book World, banglore",GWG/18010,03-01-2024,65,,81-74504-90-7,,Enviornmental Studies,,162,"NCERT, NEW DELHI",2022,
JR0061,"Deva, Prachi",Revised Collins English Grammar and Composition 5,,2022,152p.,Harper Collins,"Hema Book World, banglore",,,418,,978-93-90163-50-2,,English,,152,Harper Collins,2022,
JR0062,"Deva, Prachi",Revised Collins English Grammar and Composition 5,,2022,152p.,Harper Collins,"Hema Book World, banglore",,,418,,978-93-90163-50-2,,English,,152,Harper Collins,2022,
JR0063,"Deva, Prachi",Revised Collins English Grammar and Composition 5,,2022,152p.,Harper Collins,"Hema Book World, banglore",,,418,,978-93-90163-50-2,,English,,152,Harper Collins,2022,
JR0064,,Revised Collins English Grammar and Composition 5; Teacher's Resourcebook,,2021,176p.,Harper Collins,"Hema Book World, banglore",,,,,978-93-90191-67-3,,English,,176,Harper Collins,2021,
JR0065,"Deva, Prachi",Revised Collins English Grammar and Composition 4,,2022,136p.,Harper Collins,"Hema Book World, banglore",,,340,,978-93-90163-49-6,,English,,136,Harper Collins,2022,
JR0066,"Deva, Prachi",Revised Collins English Grammar and Composition 4,,2022,136p.,Harper Collins,"Hema Book World, banglore",,,340,,978-93-90163-49-6,,English,,136,Harper Collins,2022,
JR0067,"Deva, Prachi",Revised Collins English Grammar and Composition 4,,2022,136p.,Harper Collins,"Hema Book World, banglore",,,340,,978-93-90163-49-6,,English,,136,Harper Collins,2022,
JR0068,"Deva, Prachi",Revised Collins English Grammar and Composition 4,,2021,136p.,Harper Collins,"Hema Book World, banglore",,,257,,978-93-90163-49-6,,English,,136,Harper Collins,2021,
JR0069,,Revised Collins English Grammar and Composition 4; Teacher's Resourcebook,,2021,160p.,Harper Collins,"Hema Book World, banglore",,,,,978-93-90191-66-6,,English,,160,Harper Collins,2021,
JR0070,,Revised Collins English Grammar and Composition 4; Teacher's Resourcebook,,2021,160p.,Harper Collins,"Hema Book World, banglore",,,,,978-93-90191-66-6,,English,,160,Harper Collins,2021,
JR0071,"Deva, Prachi",Revised Collins English Grammar and Composition 3,,2022,120p. ,Harper Collins,"Hema Book World, banglore",,,314,,978-93-90163-48-9,,English,,120,Harper Collins,2022,
JR0072,"Deva, Prachi",Revised Collins English Grammar and Composition 3,,2021,120p. ,Harper Collins,"Hema Book World, banglore",,,236,,978-93-90163-48-9,,English,,120,Harper Collins,2021,
JR0073,"Deva, Prachi",Revised Collins English Grammar and Composition 3,,2022,120p. ,Harper Collins,"Hema Book World, banglore",,,314,,978-93-90163-48-9,,English,,120,Harper Collins,2022,
JR0074,"Deva, Prachi",Revised Collins English Grammar and Composition 3,,2021,120p. ,Harper Collins,"Hema Book World, banglore",,,314,,978-93-90163-48-9,,English,,120,Harper Collins,2021,
JR0075,,Revised Collins English Grammar and Composition 3; Teacher's Resourcebook,,2021,152p.,Harper Collins,"Hema Book World, banglore",,,,,978-93-90191-65-9,,English,,152,Harper Collins,2021,
JR0076,,Revised Collins English Grammar and Composition 3; Teacher's Resourcebook,,2021,152p.,Harper Collins,"Hema Book World, banglore",,,,,978-93-90191-65-9,,English,,152,Harper Collins,2021,
JR0077,"Deva, Prachi",Revised Collins English Grammar and Composition 2,,2022,104p.,Harper Collins,"Hema Book World, banglore",,,309,,978-93-90163-47-2,,English,,104,Harper Collins,2022,
JR0078,,Revised Collins English Grammar and Composition 2; Teacher's Resourcebook,,2021,128p.,Harper Collins,"Hema Book World, banglore",,,,,978-93-90191-64-2,,English,,128,Harper Collins,2021,
JR0079,"Nagarajan, Hemalatha",Revised Collins English Grammar and Composition 1,,2022,96p.,Harper Collins,"Hema Book World, banglore",,,277,,978-93-90163-46-5,,English,,96,Harper Collins,2022,
JR0080,"Nagarajan, Hemalatha",Revised Collins English Grammar and Composition 1,,2022,96p.,Harper Collins,"Hema Book World, banglore",,,277,,978-93-90163-46-5,,English,,96,Harper Collins,2022,
JR0081,,Revised Collins English Grammar and Composition 1; Teacher's Resourcebook,,2021,112p.,Harper Collins,"Hema Book World, banglore",,,,,978-93-90191-63-5,,English,,112,Harper Collins,2021,
JR0082,,Revised Collins English Grammar and Composition 1; Teacher's Resourcebook,,2021,112p.,Harper Collins,"Hema Book World, banglore",,,,,978-93-90191-63-5,,English,,112,Harper Collins,2021,
JR0083,"Mitra, Somali",Revised Engaging English 1,,2022,112p.,Harper Collins,"Hema Book World, banglore",,,414,,978-93-54890-17-8,,English,,112,Harper Collins,2022,
JR0084,"Mitra, Somali",Revised Engaging English 2,,2022,128p.,Harper Collins,"Hema Book World, banglore",,,446,,978-93-54890-18-5,,English,,128,Harper Collins,2022,
JR0085,"Bose, Ruby",Revised Engaging English 3,,2020,142p.,Harper Collins,"Hema Book World, banglore",,,407,,978-93-53024-34-5,,English,,142,Harper Collins,2020,
JR0086,"Bose, Ruby",Revised Engaging English 4,,2020,158p.,Harper Collins,"Hema Book World, banglore",,,417,,978-93-53024-35-2,,English,,158,Harper Collins,2020,
JR0087,"Bose, Ruby and Gupta, Anju
",Revised Engaging English 5,,2018,166p.,Harper Collins,"Hema Book World, banglore",,,424,,978-93-53024-36-9,,English,,166,Harper Collins,2018,
JR0088,"Ed. Sriraman, Padmini",Cascade 1: Textbook in EVS for Class 1,,2022,96p.,Harper Collins,"Hema Book World, banglore",,,305,,978-93-54890-58-1,,Enviornmental Studies,,96,Harper Collins,2022,
JR0089,"Ed. Sriraman, Padmini",Cascade 2: Textbook in EVS for Class 2,,2022,104p.,Harper Collins,"Hema Book World, banglore",,,325,,978-93-54890-59-8,,Enviornmental Studies,,104,Harper Collins,2022,
JR0090,"Ed. Sriraman, Padmini",Cascade 4: Textbook in Social Studies for Class 4,,2022,120p. ,Harper Collins,"Hema Book World, banglore",,,363,,978-93-54890-65-9,,Social Studies,,120,Harper Collins,2022,
JR0091,"Nagarajan, Hemalatha",Enhanced Collins English Grammar and Composition 1,,2024,96p.,Harper Collins,"Hema Book World, banglore",,,319,,978-93-54898-03-7,,English,,96,Harper Collins,2024,
JR0092,"Nagarajan, Hemalatha",Enhanced Collins English Grammar and Composition 1,,2024,96p.,Harper Collins,"Hema Book World, banglore",,,319,,978-93-54898-03-7,,English,,96,Harper Collins,2024,
JR0093,,Revised Collins English Grammar and Composition 1; Teacher's Resourcebook,,2021,112p.,Harper Collins,"Hema Book World, banglore",,,,,978-93-90191-63-5,,English,,112,Harper Collins,2021,
JR0094,,Enhanced Collins English Grammar and Composition 2,,2024,104p.,Harper Collins,"Hema Book World, banglore",,,356,,978-93-54898-04-4,,English,,104,Harper Collins,2024,
